index,grade,reason,reference,text
345,A,,예레미야 29:11,나 여호와가 말하노라 너희를 향한 나의 생각은 내가 아나니 재앙이 아니라 곧 평안이요 너희 장래에 소망을 주려 하는 생각이라
346,B,,시편 30:4,주의 성도들아! 여호와를 찬송하며 그 거룩한 이름에 감사할지어다
347,A,,이사야 12:2,보라 하나님은 나의 구원이시라 내가 의뢰하고 두려움이 없으리니 주 여호와는 나의 힘이시며 나의 노래시며 나의 구원이심이라
348,B,,잠언 6:23,대저 명령은 등불이요 법은 빛이요 훈계의 책망은 곧 생명의 길이라
349,C,난해,로마서 7:25,우리 주 예수 그리스도로 말미암아 하나님께 감사하리로다 그런즉 내 자신이 마음으로는 하나님의 법을 육신으로는 죄의 법을 섬기노라
350,C,난해,신명기 10:15,여호와께서 오직 네 열조를 기뻐하시고 그들을 사랑하사 그 후손 너희를 만민 중에서 택하셨음이 오늘날과 같으니라
351,C,인물,고린도후서 7:13,이로 인하여 우리가 위로를 받았고 우리의 받은 위로 위에 디도의 기쁨으로 우리가 더욱 많이 기뻐함은 그의 마음이 너희 무리를 인하여 안심함을 얻었음이니라
352,A,,요한복음 16:33,이것을 너희에게 이름은 너희로 내 안에서 평안을 누리게 하려 함이라 세상에서는 너희가 환난을 당하나 담대하라! 내가 세상을 이기었노라! 하시니라
353,B,,히브리서 6:19,우리가 이 소망이 있는 것은 영혼의 닻 같아서 튼튼하고 견고하여 휘장 안에 들어가나니
354,C,서사,사도행전 27:24,바울아 두려워 말라 네가 가이사 앞에 서야 하겠고 또 하나님께서 너와 함께 행선하는 자를 다 네게 주셨다 하였으니
355,A,,시편 23:1,여호와는 나의 목자시니 내가 부족함이 없으리로다
356,B,,이사야 45:17,이스라엘은 여호와께 구원을 입어 영원한 구원을 얻으리니 영세에 부끄러움을 당하거나 욕을 받지 아니하리로다
357,A,,잠언 16:9,사람이 마음으로 자기의 길을 계획할지라도 그 걸음을 인도하는 자는 여호와시니라
358,B,,로마서 15:4,무엇이든지 전에 기록한 바는 우리의 교훈을 위하여 기록된 것이니 우리로 하여금 인내로 또는 성경의 안위로 소망을 가지게 함이니라
359,C,조각,신명기 30:2,너와 네 자손이 네 하나님 여호와께로 돌아와 내가 오늘날 네게 명한 것을 온전히 따라서 마음을 다하고 성품을 다하여 여호와의 말씀을 순종하면
360,B,,고린도후서 5:20,이러므로 우리가 그리스도를 대신하여 사신이 되어 하나님이 우리로 너희를 권면하시는 것 같이 그리스도를 대신하여 간구하노니 너희는 하나님과 화목하라!
361,B,,요한복음 13:1,유월절 전에 예수께서 자기가 세상을 떠나 아버지께로 돌아가실 때가 이른 줄 아시고 세상에 있는 자기 사람들을 사랑하시되 끝까지 사랑하시니라
362,A,,시편 146:5,야곱의 하나님으로 자기 도움을 삼으며 여호와 자기 하나님에게 그 소망을 두는 자는 복이 있도다
363,A,,이사야 54:10,산들은 떠나며 작은 산들은 옮길지라도 나의 인자는 네게서 떠나지 아니하며 화평케 하는 나의 언약은 옮기지 아니하리라 너를 긍휼히 여기는 여호와의 말이니라
364,A,,잠언 20:22,너는 악을 갚겠다 말하지 말고 여호와를 기다리라 그가 너를 구원하시리라
365,B,,로마서 1:17,복음에는 하나님의 의가 나타나서 믿음으로 믿음에 이르게 하나니 기록된 바 오직 의인은 믿음으로 말미암아 살리라 함과 같으니라
366,A,,시편 55:22,네 짐을 여호와께 맡겨 버리라 너를 붙드시고 의인의 요동함을 영영히 허락지 아니하시리로다
367,B,,이사야 58:8,그리하면 네 빛이 아침 같이 비췰 것이며 네 치료가 급속할 것이며 네 의가 네 앞에 행하고 여호와의 영광이 네 뒤에 호위하리니
368,A,,잠언 15:13,마음의 즐거움은 얼굴을 빛나게 하여도 마음의 근심은 심령을 상하게 하느니라
369,C,인사,로마서 1:8,첫째는 내가 예수 그리스도로 말미암아 너희 모든 사람을 인하여 내 하나님께 감사함은 너희 믿음이 온 세상에 전파됨이로다
370,B,,시편 56:13,주께서 내 생명을 사망에서 건지셨음이라 주께서 나로 하나님앞 생명의 빛에 다니게 하시려고 실족지 않게 하지 아니하셨나이까?
371,A,,이사야 66:13,어미가 자식을 위로함 같이 내가 너희를 위로할 것인즉 너희가 예루살렘에서 위로를 받으리니
372,C,난해,잠언 8:35,누구든지 내게 들으며 날마다 내 문 곁에서 기다리며 문설주 옆에서 기다리는 자는 복이 있나니
373,A,,로마서 8:28,우리가 알거니와 하나님을 사랑하는 자 곧 그 뜻대로 부르심을 입은 자들에게는 모든 것이 합력하여 선을 이루느니라
374,B,,시편 54:4,하나님은 나의 돕는 자시라 주께서 내 생명을 붙드는 자와 함께 하시나이다
375,A,,이사야 55:12,너희는 기쁨으로 나아가며 평안히 인도함을 받을 것이요 산들과 작은 산들이 너희 앞에서 노래를 발하고 들의 모든 나무가 손바닥을 칠 것이며
376,A,,잠언 3:18,지혜는 그 얻은 자에게 생명나무라 지혜를 가진 자는 복되도다
377,B,,시편 50:23,감사로 제사를 드리는 자가 나를 영화롭게 하나니 그 행위를 옳게 하는 자에게 내가 하나님의 구원을 보이리라
378,C,난해,이사야 30:26,여호와께서 그 백성의 상처를 싸매시며 그들의 맞은 자리를 고치시는 날에는 달빛은 햇빛 같겠고 햇빛은 칠 배가 되어 일곱 날의 빛과 같으리라
379,B,,시편 40:16,무릇 주를 찾는 자는 다 주로 즐거워하고 기뻐하게 하시며 주의 구원을 사랑하는 자는 항상 말하기를 여호와는 광대하시다 하게 하소서
380,A,,시편 118:24,이 날은 여호와의 정하신 것이라 이 날에 우리가 즐거워하고 기뻐하리로다
381,B,,시편 42:8,낮에는 여호와께서 그 인자함을 베푸시고 밤에는 그 찬송이 내게 있어 생명의 하나님께 기도하리로다
382,A,,시편 147:3,상심한 자를 고치시며 저희 상처를 싸매시는도다
383,A,,시편 23:4,내가 사망의 음침한 골짜기로 다닐지라도 해를 두려워하지 않을것은 주께서 나와 함께 하심이라 주의 지팡이와 막대기가 나를 안위하시나이다
384,A,,시편 27:1,여호와는 나의 빛이요 나의 구원이시니 내가 누구를 두려워하리요 여호와는 내 생명의 능력이시니 내가 누구를 무서워하리요
